0000.164618 0000027F 8 00 05 00 00 00 00 00 01
0000.164859 00000285 8 00 00 00 00 00 00 4A D1
0000.165105 00000284 8 00 00 00 00 00 00 4A D0
0000.169119 000001F9 6 20 00 7D 00 00 FF  
0000.169364 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.171884 00000657 2 C1 C8      
0000.173839 00000181 8 7D 00 32 10 32 20 32 00
0000.174090 000001F8 8 00 00 FF FF FE 00 00 0F
0000.174326 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.174556 00000244 7 FE FE 00 18 00 00 FE 
0000.178719 000001F9 6 20 00 7D 00 00 FF  
0000.178964 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.179994 00000215 6 00 20 00 00 01 01  
0000.183854 00000181 8 7D 00 32 10 32 20 32 00
0000.184105 000001F8 8 00 00 FF FF FE 00 00 0F
0000.184340 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.184617 0000027F 8 00 05 00 00 00 00 00 01
0000.184858 00000285 8 00 00 00 00 00 00 4B D2
0000.185098 00000284 8 00 00 00 00 00 00 4B D1
0000.189184 000001F9 6 20 00 7D 00 00 FF  
0000.189430 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.191939 00000500 5 02 8D EA D4 5B   
0000.193772 00000181 8 7D 00 32 10 32 20 32 00
0000.194017 000001F8 8 00 00 FF FF FE 00 00 0F
0000.194263 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.194432 00000634 4 80 FE 00 00    
0000.194662 00000244 7 FE FE 00 18 00 00 FE 
0000.194908 00000354 8 00 00 00 00 00 00 06 00
0000.198830 000005DD 7 00 FF FF 00 00 FE 00 
0000.199045 000001F9 6 20 00 7D 00 00 FF  
0000.199316 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.200033 00000215 6 00 20 00 00 01 01  
0000.203520 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.203735 00000511 7 00 76 77 63 2F 69 F7 
0000.203976 00000181 8 7D 00 32 10 32 20 32 00
0000.204227 000001F8 8 00 00 FF FF FE 00 00 0F
0000.204462 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.204713 0000027F 8 00 05 00 00 00 00 00 01
0000.204954 00000285 8 00 00 00 00 00 00 4C D3
0000.205204 00000284 8 00 00 00 00 00 00 4C D2
0000.209080 000001F9 6 20 00 7D 00 00 FF  
0000.209331 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.213432 00000645 5 00 FA FF 00 00   
0000.213811 00000181 8 7D 00 32 10 32 20 32 00
