0030.235546 0000027F 8 00 04 00 02 00 01 00 02
0030.235796 00000285 8 00 00 00 00 00 00 C8 4F
0030.236037 00000284 8 00 00 00 00 00 00 C8 4E
0030.237291 00000181 8 7D 00 32 10 32 20 32 00
0030.237542 000001F8 8 00 00 FF FF FE 00 00 0F
0030.237773 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.238013 00000652 8 95 D0 00 15 40 07 55 50
0030.239693 00000366 4 00 00 00 A0    
0030.242202 000001F9 6 00 00 7D 00 00 FF  
0030.242391 00000650 5 41 00 FF D6 00   
0030.242637 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.243794 00000215 6 FF 20 FF 00 00 00  
0030.245483 00000244 7 FE FE 00 18 00 00 FE 
0030.247352 00000181 8 7D 00 32 10 32 20 32 00
0030.247603 000001F8 8 00 00 FF FF FE 00 00 0F
0030.247834 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.248043 0000065B 6 FF EF FE FC 40 7C  
0030.249651 00000657 2 C1 C8      
0030.252155 000005C5 8 63 01 F6 45 16 A2 00 7F
0030.252549 000001F9 6 00 00 7D 00 00 FF  
0030.252774 00000638 7 50 10 05 90 08 00 00 
0030.253015 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.255508 0000027F 8 00 04 00 02 00 01 00 02
0030.255754 00000285 8 00 00 00 00 00 00 C9 50
0030.256000 00000284 8 00 00 00 00 00 00 C9 4F
0030.257290 00000181 8 7D 00 32 10 32 20 32 00
0030.257541 000001F8 8 00 00 FF FF FE 00 00 0F
0030.257777 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.258022 000001FD 8 23 41 7F FF 7F FF 50 00
0030.258161 00000651 2 05 F0      
0030.262103 00000645 5 00 FF FF 00 00   
0030.262308 000001F9 6 00 00 7D 00 00 FF  
0030.262543 00000427 8 DB FF FF C7 FF FF 28 00
0030.262851 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.263808 00000215 6 FF 20 FF 00 00 00  
0030.265487 00000244 7 FE FE 00 18 00 00 FE 
0030.265738 00000354 8 00 00 00 00 00 00 06 00
0030.267295 00000181 8 7D 00 32 10 32 20 32 00
0030.267540 0000042E 8 FF FF DF FF E4 09 00 FF
0030.267771 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.268022 000001F8 8 00 00 FF FF FE 00 00 0F
0030.269732 00000500 5 02 6B FF E0 88   
0030.272195 00000656 6 07 FF 07 FF 07 FF  
0030.272650 000001F9 6 00 00 7D 00 00 FF  
0030.272901 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.275548 0000027F 8 00 04 00 02 00 01 00 02
0030.275789 00000285 8 00 00 00 00 00 00 CA 51
0030.276029 00000284 8 00 00 00 00 00 00 CA 50
0030.277309 00000551 8 48 00 00 00 FE 00 00 00
0030.277571 000001F8 8 00 00 FF FF FE 00 00 0F
0030.277801 00000181 8 7D 00 32 10 32 20 32 00
0030.278052 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.282271 000001F9 6 00 00 7D 00 00 FF  
0030.282542 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.283796 00000215 6 FF 20 FF 00 00 00  
0030.284006 00000625 6 82 00 E8 11 00 00  
0030.284815 00000511 7 00 67 BE 7F 6D 56 81 
0030.285338 00000244 7 FE FE 00 18 00 00 FE 
0030.287324 00000181 8 7D 00 32 10 32 20 32 00
0030.287575 000001F8 8 00 00 FF FF FE 00 00 0F
0030.287811 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.292731 000001F9 6 00 00 7D 00 00 FF  
0030.292920 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.295531 0000027F 8 00 04 00 02 00 01 00 02
0030.295777 00000285 8 00 00 00 00 00 00 CB 52
0030.296018 00000284 8 00 00 00 00 00 00 CB 51
0030.297334 00000181 8 7D 00 32 10 32 20 32 00
0030.297585 000001F8 8 00 00 FF FF FE 00 00 0F
0030.297825 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.299776 0000035D 8 90 03 00 00 09 C0 53 00
0030.302285 000001F9 6 00 00 7D 00 00 FF  
0030.302531 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.303795 00000215 6 FF 20 FF 00 00 00  
0030.305510 00000244 7 FE FE 00 18 00 00 FE 
0030.305761 00000354 8 00 00 00 00 00 00 06 00
0030.307302 00000181 8 7D 00 32 10 32 20 32 00
0030.307553 000001F8 8 00 00 FF FF FE 00 00 0F
0030.307789 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.309780 000005FD 8 1F 64 55 4A C8 E2 00 00
0030.309955 00000634 4 80 FE 00 00    
0030.312689 000001F9 6 00 00 7D 00 00 FF  
0030.312934 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.315377 0000027F 8 00 04 00 02 00 01 00 02
0030.315622 00000285 8 00 00 00 00 00 00 CC 53
0030.315868 00000284 8 00 00 00 00 00 00 CC 52
0030.317394 00000181 8 7D 00 32 10 32 20 32 00
0030.317640 000001F8 8 00 00 FF FF FE 00 00 0F
0030.317880 0000017A 8 FF FF FF FF 00 F0 31 A3
0030.319104 000005E4 3 00 00 00     
0030.322273 000005DD 7 00 FF FF 40 00 FE 00 
0030.322493 000001F9 6 00 00 7D 00 00 FF  
0030.322765 0000018A 8 FF F0 00 1F FE 3C 00 00
0030.323809 00000215 6 FF 20 FF 00 00 00  
0030.325299 00000244 7 FE FE 00 18 00 00 FE 
0030.327291 00000181 8 7D 00 32 10 32 20 32 00
